id,name,province_id
1,Huyện A Lưới,1
2,Huyện An Biên,2
3,Huyện An Dương,3
4,Thị Xã An Khê,4
5,Huyện An Lão,3
6,Huyện An Lão,5
7,Huyện An Minh,2
8,Thị Xã An Nhơn,5
9,Huyện An Phú,6
10,Huyện Anh Sơn,7
11,Thị Xã Ayun Pa,4
12,Huyện Ân Thi,8
13,Huyện Ba Bể,9
14,Huyện Ba Chẽ,10
15,Quận Ba Đình,11
16,Thị Xã Ba Đồn,12
17,Huyện Ba Tơ,13
18,Huyện Ba Tri,14
19,Huyện Ba Vì,11
20,Thành Phố Bà Rịa,15
21,Huyện Bá Thước,16
22,Huyện Bác Ái,17
23,Thành Phố Bạc Liêu,18
24,Huyện Đảo Bạch Long Vĩ,3
25,Huyện Bạch Thông,9
26,Huyện Bảo Lạc,19
27,Huyện Bảo Lâm,19
28,Huyện Bảo Lâm,20
29,Thành Phố Bảo Lộc,20
30,Huyện Bảo Thắng,21
31,Huyện Bảo Yên,21
32,Huyện Bát Xát,21
33,Huyện Bàu Bàng,22
34,Huyện Bắc Bình,23
35,Thành Phố Bắc Giang,24
36,Huyện Bắc Hà,21
37,Thị Xã Bắc Kạn,9
38,Huyện Bắc Mê,25
39,Thành Phố Bắc Ninh,26
40,Huyện Bắc Quang,25
41,Huyện Bắc Sơn,27
42,Huyện Bắc Tân Uyên,22
43,Huyện Bắc Trà My,28
44,Quận Bắc Từ Liêm,11
45,Huyện Bắc Yên,29
46,Thị Xã Bến Cát,22
47,Huyện Bến Cầu,30
48,Huyện Bến Lức,31
49,Thành Phố Bến Tre,14
50,Thành Phố Biên Hòa,32
51,Thị Xã Bỉm Sơn,16
52,Huyện Bình Chánh,33
53,Huyện Bình Đại,14
54,Huyện Bình Gia,27
55,Huyện Bình Giang,34
56,Huyện Bình Liêu,10
57,Thị Xã Bình Long,35
58,Huyện Bình Lục,36
59,Thị Xã Bình Minh,37
60,Huyện Bình Sơn,13
61,Quận Bình Tân,33
62,Huyện Bình Tân,37
63,Quận Bình Thạnh,33
64,Quận Bình Thủy,38
65,Huyện Bình Xuyên,39
66,Huyện Bố Trạch,12
67,Huyện Bù Đăng,35
68,Huyện Bù Đốp,35
69,Huyện Bù Gia Mập,35
70,Huyện Buôn Đôn,40
71,Thị Xã Buôn Hồ,40
72,Thành Phố Buôn Ma Thuột,40
73,Thành Phố Cà Mau,41
74,Huyện Cai Lậy,42
75,Thị Xã Cai Lậy,42
76,Huyện Cái Bè,42
77,Huyện Cái Nước,41
78,Quận Cái Răng,38
79,Huyện Cam Lâm,43
80,Huyện Cam Lộ,44
81,Thành Phố Cam Ranh,43
82,Huyện Can Lộc,45
83,Huyện Càng Long,46
84,Thành Phố Cao Bằng,19
85,Thành Phố Cao Lãnh,47
86,Huyện Cao Lãnh,47
87,Huyện Cao Lộc,27
88,Huyện Cao Phong,48
89,Huyện Đảo Cát Hải,3
90,Huyện Cát Tiên,20
91,Huyện Cẩm Giàng,34
92,Huyện Cẩm Khê,49
93,Quận Cẩm Lệ,50
94,Huyện Cẩm Mỹ,32
95,Thành Phố Cẩm Phả,10
96,Huyện Cẩm Thủy,16
97,Huyện Cẩm Xuyên,45
98,Huyện Cần Đước,31
99,Huyện Cần Giờ,33
100,Huyện Cần Giuộc,31
101,Quận Cầu Giấy,11
102,Huyện Cầu Kè,46
103,Huyện Cầu Ngang,46
104,Thành Phố Châu Đốc,6
105,Huyện Châu Đức,15
106,Huyện Châu Phú,6
107,Huyện Châu Thành,6
108,Huyện Châu Thành,14
109,Huyện Châu Thành,47
110,Huyện Châu Thành,51
111,Huyện Châu Thành,2
112,Huyện Châu Thành,31
113,Huyện Châu Thành,52
114,Huyện Châu Thành,30
115,Huyện Châu Thành,42
116,Huyện Châu Thành,46
117,Huyện Châu Thành A,51
118,Huyện Chi Lăng,27
119,Thị Xã Chí Linh,34
120,Huyện Chiêm Hóa,53
121,Huyện Chợ Đồn,9
122,Huyện Chợ Gạo,42
123,Huyện Chợ Lách,14
124,Huyện Chợ Mới,9
125,Huyện Chợ Mới,6
126,Huyện Chơn Thành,35
127,Huyện Chư Păh,4
128,Huyện Chư Prông,4
129,Huyện Chư Pưh,4
130,Huyện Chư Sê,4
131,Huyện Chương Mỹ,11
132,Huyện Con Cuông,7
133,Huyện Đảo Cô Tô,10
134,Huyện Đảo Côn Đảo,15
135,Huyện Đảo Cồn Cỏ,44
136,Huyện Cờ Đỏ,38
137,Huyện Cù Lao Dung,52
138,Huyện Củ Chi,33
139,Huyện Cư Kuin,40
140,Huyện Cư Jút,54
141,Huyện Cư M'gar,40
142,Thị Xã Cửa Lò,7
143,Huyện Dầu Tiếng,22
144,Huyện Di Linh,20
145,Thị Xã Dĩ An,22
146,Huyện Diên Khánh,43
147,Huyện Diễn Châu,7
148,Huyện Duy Tiên,36
149,Huyện Duy Xuyên,28
150,Huyện Duyên Hải,46
151,Quận Dương Kinh,3
152,Huyện Dương Minh Châu,30
153,Huyện Đakrông,44
154,Huyện Đà Bắc,48
155,Thành Phố Đà Lạt,20
156,Huyện Đạ Huoai,20
157,Huyện Đạ Tẻh,20
158,Huyện Đại Lộc,28
159,Huyện Đại Từ,55
160,Huyện Đắk Đoa,4
161,Huyện Đak Pơ,4
162,Huyện Đan Phượng,11
163,Huyện Đắk Glei,56
164,Huyện Đắk Glong,54
165,Huyện Đắk Hà,56
166,Huyện Đắk Mil,54
167,Huyện Đắk R'lấp,54
168,Huyện Đắk Song,54
169,Huyện Đắk Tô,56
170,Huyện Đầm Dơi,41
171,Huyện Đầm Hà,10
172,Huyện Đam Rông,20
173,Huyện Đất Đỏ,15
174,Huyện Điện Bàn,28
175,Huyện Điện Biên,57
176,Huyện Đông,57
177,Thành Phố Điện Biên Phủ,57
178,Huyện Đình Lập,27
179,Huyện Định Hóa,55
180,Huyện Định Quán,32
181,Huyện Đoan Hùng,49
182,Huyện Đô Lương,7
183,Quận Đồ Sơn,3
184,Huyện Đông Anh,11
185,Huyện Đông Giang,28
186,Thành Phố Đông Hà,44
187,Huyện Đông Hải,18
188,Huyện Đông Hòa,58
189,Huyện Đông Hưng,59
190,Huyện Đông Sơn,16
191,Huyện Đông Triều,10
192,Thành Phố Đồng Hới,12
193,Huyện Đồng Hỷ,55
194,Huyện Đồng Phú,35
195,Huyện Đồng Văn,25
196,Thị Xã Đồng Xoài,35
197,Huyện Đồng Xuân,58
198,Quận Đống Đa,11
199,Huyện Đơn Dương,20
200,Huyện Đức Cơ,4
201,Huyện Đức Hòa,31
202,Huyện Đức Huệ,31
203,Huyện Đức Linh,23
204,Huyện Đức Phổ,13
205,Huyện Đức Thọ,45
206,Huyện Đức Trọng,20
207,Huyện Ea H'leo,40
208,Huyện Ea Kar,40
209,Huyện Ea Súp,40
210,Huyện Gia Bình,26
211,Huyện Gia Lâm,11
212,Huyện Gia Lộc,34
213,Thị Xã Gia Nghĩa,54
214,Huyện Gia Viễn,60
215,Huyện Giá Rai,18
216,Huyện Giang Thành,2
217,Huyện Giao Thủy,61
218,Huyện Gio Linh,44
219,Huyện Giồng Riềng,2
220,Huyện Giồng Trôm,14
221,Thị Xã Gò Công,42
222,Huyện Gò Công Đông,42
223,Huyện Gò Công Tây,42
224,Huyện Gò Dầu,30
225,Huyện Gò Quao,2
226,Quận Gò Vấp,33
227,Quận Hà Đông,11
228,Thành Phố Hà Giang,25
229,Huyện Hà Quảng,19
230,Thị Xã Hà Tiên,2
231,Thành Phố Hà Tĩnh,45
232,Huyện Hà Trung,16
233,Huyện Hạ Hòa,49
234,Huyện Hạ Lang,19
235,Thành Phố Hạ Long,10
236,Quận Hai Bà Trưng,11
237,Quận Hải An,3
238,Quận Hải Châu,50
239,Thành Phố Hải Dương,34
240,Huyện Hải Hà,10
241,Huyện Hải Hậu,61
242,Huyện Hải Lăng,44
243,Huyện Hàm Tân,23
244,Huyện Hàm Thuận Bắc,23
245,Huyện Hàm Thuận Nam,23
246,Huyện Hàm Yên,53
247,Huyện Hậu Lộc,16
248,Huyện Hiệp Đức,28
249,Huyện Hiệp Hòa,24
250,Huyện Hoa Lư,60
251,Huyện Hòa An,19
252,Huyện Hòa Bình,18
253,Thành Phố Hòa Bình,48
254,Huyện Hòa Thành,30
255,Huyện Hòa Vang,50
256,Huyện Hoài Ân,5
257,Huyện Hoài Đức,11
258,Huyện Hoài Nhơn,5
259,Quận Hoàn Kiếm,11
260,Quận Hoàng Mai,11
261,Thị Xã Hoàng Mai,7
262,Huyện Đảo Hoàng Sa,50
263,Huyện Hoàng Su Phì,25
264,Huyện Hoành Bồ,10
265,Huyện Hoằng Hóa,16
266,Huyện Hóc Môn,33
267,Huyện Hòn Đất,2
268,Huyện Hớn Quản,35
269,Thành Phố Hội An,28
270,Quận Hồng Bàng,3
271,Huyện Hồng Dân,18
272,Thị Xã Hồng Lĩnh,45
273,Huyện Hồng Ngự,47
274,Thị Xã Hồng Ngự,47
275,Thành Phố Huế,1
276,Huyện Hưng Hà,59
277,Huyện Hưng Nguyên,7
278,Thành Phố Hưng Yên,8
279,Huyện Hương Khê,45
280,Huyện Hương Sơn,45
281,Thị Xã Hương Thủy,1
282,Thị Xã Hương Trà,1
283,Huyện Hướng Hóa,44
284,Huyện Hữu Lũng,27
285,Huyện Ia Grai,4
286,Huyện Ia Pa,4
287,Huyện K'bang,4
288,Huyện Kế Sách,52
289,Huyện Khánh Sơn,43
290,Huyện Khánh Vĩnh,43
291,Huyện Khoái Châu,8
292,Huyện Đảo Kiên Hải,2
293,Huyện Kiên Lương,2
294,Quận Kiến An,3
295,Huyện Kiến Thụy,3
296,Huyện Kiến Xương,59
297,Thị Xã Kiến Tường,31
298,Huyện Kim Bảng,36
299,Huyện Kim Bôi,48
300,Huyện Kim Động,8
301,Huyện Kim Sơn,60
302,Huyện Kim Thành,34
303,Huyện Kinh Môn,34
304,Huyện Kon Plông,56
305,Huyện Kon Rẫy,56
306,Thành Phố Kon Tum,56
307,Huyện Kông Chro,4
308,Huyện Krông Ana,40
309,Huyện Krông Bông,40
310,Huyện Krông Búk,40
311,Huyện Krông Năng,40
312,Huyện Krông Nô,54
313,Huyện Krông Pa,4
314,Huyện Krông Pắk,40
315,Huyện Kỳ Anh,45
316,Huyện Kỳ Sơn,48
317,Huyện Kỳ Sơn,7
318,Thị Xã La Gi,23
319,Huyện Lạc Dương,20
320,Huyện Lạc Sơn,48
321,Huyện Lạc Thủy,48
