id,name,address,lat,long,star_number,street_id,district_id,province_id
71,Canary Hotel,"37 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47152726,107.5969595,2,27718.0,275.0,1
77,Khách Sạn Imperial Huế (Imperial Hotel Hue),"8 Hùng Vương Bùng binh Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",16.465359,107.592861,5,27810.0,275.0,1
123,Indochine Palace Hotel,"105A Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",16.46098493,107.5978344,5,519.0,275.0,1
143,Century Riverside Hue Hotel,"Số 49 Lê Lợi, Thành Phố Huế, Thừa Thiên - Huế",16.47046926,107.5938485,4,27705.0,275.0,1
206,Khách sạn Huế Smile ( Hue Smile Hotel ),"175-177 Bà Triệu, Thành Phố Huế, Thừa Thiên - Huế",16.46230997,107.6001528,3,27647.0,275.0,1
262,Khách sạn Duy Tân (Duy Tan Hotel),"12 Bùng binh Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",16.46535873,107.5925903,3,27810.0,275.0,1
331,Eldora Hotel,"60 Bến Nghé, Thành Phố Huế, Thừa Thiên - Huế",16.46500613,107.5946765,4,27643.0,275.0,1
343,Hue Serene Palace Hotel,"21 Lane 42 Nguyen Cong Tru , Thành phố Huế, Huế, Việt Nam",16.47024176,107.5971928,3,27718.0,275.0,1
416,Khách Sạn Romance (Romance Hotel),"16 Nguyễn Thái Học, Thành Phố Huế, Thừa Thiên - Huế",16.4680842,107.5957725,4,27738.0,275.0,1
446,Saigon Morin Hotel,"30 Lê Lợi, Thành Phố Huế, Thừa Thiên - Huế",16.46690766,107.5903451,5,27705.0,275.0,1
447,Mondial Hotel Hue,"17 Nguyễn Huệ, Thành Phố Huế, Thừa Thiên - Huế",16.45777101,107.5830281,4,27727.0,275.0,1
462,Thanh Lich Royal Boutique Hotel,"33 Hai Bà Trưng, Thành Phố Huế, Thừa Thiên - Huế",16.46065198,107.5896102,4,27671.0,275.0,1
662,Khách sạn Alba Spa (Alba Spa Hotel),"29 Trần Quang Khải, Thành Phố Huế, Thừa Thiên - Huế",16.46524473,107.5954011,4,561.0,275.0,1
695,Thanh Tân Hotspring Hotel," Phong Sơn, Huyện Phong Điền Thừa Thiênhuế, Thừa Thiên - Huế",16.4903036,107.382167,3,234.0,434.0,1
