hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
71,8.0,8.0,8.8,7.8,-1.0,7.5,-1.0,8.25,3,7.74
77,9.4,8.7,9.3,9.3,-1.0,9.1,-1.0,8.85,11,8.7
123,8.9,8.7,8.9,8.9,-1.0,8.9,-1.0,9.15,101,8.69
143,8.1,7.7,8.6,8.0,-1.0,8.1,-1.0,7.95,4,8.0
206,8.3,7.5,8.5,8.2,-1.0,8.0,-1.0,7.0,-1,6.52
262,8.1,7.6,9.3,8.7,-1.0,8.5,-1.0,7.9,3,7.27
331,9.2,8.4,8.6,8.9,-1.0,9.0,-1.0,8.9,14,9.09
343,9.1,8.2,8.5,8.8,-1.0,8.9,-1.0,9.0,205,8.72
416,10.0,9.2,9.3,10.0,-1.0,9.3,-1.0,8.7,12,8.53
446,10.0,8.7,9.0,9.0,-1.0,8.5,-1.0,8.6,167,8.19
447,8.8,8.0,8.6,8.4,-1.0,8.4,-1.0,8.45,36,8.0
462,9.1,8.5,8.8,8.8,-1.0,8.9,-1.0,8.6,228,8.22
662,9.2,8.4,8.6,8.9,-1.0,9.0,-1.0,8.95,192,8.48
695,8.8,7.0,8.4,8.7,-1.0,8.1,-1.0,8.3,6,7.2
707,8.8,8.3,9.1,8.8,-1.0,8.7,-1.0,8.35,150,7.96
765,8.0,8.0,8.5,8.0,-1.0,9.0,-1.0,8.7,15,7.4
769,8.7,8.2,8.7,8.6,-1.0,8.4,-1.0,8.65,47,8.06
953,7.2,6.5,7.7,7.4,-1.0,7.0,-1.0,7.8,-1,5.84
959,9.0,8.6,9.1,9.1,-1.0,8.8,-1.0,8.7,12,7.8
1087,9.1,8.8,9.1,9.1,-1.0,9.1,-1.0,8.85,210,8.56
1106,8.7,7.7,8.4,9.3,-1.0,8.9,-1.0,8.4,13,7.7
1262,8.7,7.9,8.8,8.6,-1.0,8.4,-1.0,8.35,63,7.97
1400,7.7,7.5,8.5,7.7,-1.0,7.6,-1.0,8.2,48,7.51
1551,8.2,7.6,8.3,8.2,-1.0,8.0,-1.0,7.7,20,7.12
1784,9.1,8.3,8.6,8.8,-1.0,8.8,-1.0,8.8,239,8.42
1878,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.1,26,8.74
1926,7.5,7.9,8.5,7.9,-1.0,7.5,-1.0,7.85,7,7.18
1954,7.7,7.8,8.5,7.8,-1.0,7.9,-1.0,8.0,-1,8.05
1988,8.3,8.0,8.4,8.2,-1.0,8.2,-1.0,8.15,66,7.85
2041,7.6,7.7,8.3,7.9,-1.0,7.7,-1.0,7.8,-1,7.64
2114,8.2,8.4,8.9,8.1,-1.0,8.4,-1.0,8.2,-1,8.28
2144,8.7,8.0,9.3,8.7,-1.0,9.3,-1.0,9.1,35,8.41
2350,8.4,8.3,8.0,8.4,-1.0,8.4,-1.0,8.25,6,7.68
2376,6.0,8.0,6.0,6.0,-1.0,6.0,-1.0,8.4,-1,7.95
2431,9.2,8.3,8.9,9.2,-1.0,8.9,-1.0,8.35,-1,-1.0
2451,7.0,8.0,7.7,8.3,-1.0,6.7,-1.0,6.65,-1,7.28
2461,8.7,7.9,8.8,8.6,-1.0,8.4,-1.0,7.45,-1,8.08
2636,8.0,8.0,8.0,8.0,-1.0,8.4,-1.0,8.4,-1,8.22
2649,8.4,8.0,8.6,8.6,-1.0,8.4,-1.0,8.15,33,7.69
2665,8.2,7.5,7.9,8.5,-1.0,8.5,-1.0,8.6,21,7.92
2677,8.7,8.0,8.7,8.7,-1.0,8.7,-1.0,7.8,7,7.58
2691,9.1,8.6,8.6,8.9,-1.0,8.8,-1.0,8.75,73,8.24
2772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.3,-1,7.17
2918,8.3,8.0,8.3,8.0,-1.0,8.0,-1.0,8.1,34,7.35
2984,8.7,7.3,8.4,8.9,-1.0,8.2,-1.0,8.85,14,8.6
3062,6.0,6.0,6.0,6.0,-1.0,6.0,-1.0,7.0,-1,-1.0
3160,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,-1,-1.0
3191,6.0,-1.0,6.0,6.0,-1.0,6.0,-1.0,5.9,-1,5.96
3266,8.9,8.0,9.3,8.9,-1.0,8.9,-1.0,8.95,7,8.23
3295,5.6,6.2,6.0,6.0,-1.0,5.9,-1.0,6.2,17,7.35
3315,7.8,7.1,8.8,7.9,-1.0,8.0,-1.0,7.15,55,7.57
3317,8.7,7.9,8.8,8.6,-1.0,8.4,-1.0,8.1,-1,7.46
3361,9.0,8.7,9.0,9.1,-1.0,9.4,-1.0,9.05,119,8.74
3368,6.0,8.0,8.0,6.0,-1.0,10.0,-1.0,8.1,48,7.82
3477,7.6,7.7,8.3,7.9,-1.0,7.7,-1.0,8.3,-1,7.64
3544,9.3,8.3,9.3,9.2,-1.0,9.1,-1.0,9.15,54,8.78
3565,6.5,4.0,7.0,6.5,-1.0,6.5,-1.0,6.5,37,5.7
3604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,-1,9.05
3617,8.5,7.6,9.0,8.6,-1.0,8.5,-1.0,7.7,-1,7.52
4217,7.5,8.0,8.5,6.0,-1.0,8.0,-1.0,7.3,2,6.31
4273,8.4,8.0,8.4,8.4,-1.0,8.2,-1.0,8.45,11,8.19
4282,9.0,8.0,9.2,8.7,-1.0,8.8,-1.0,8.6,128,8.36
4352,7.0,6.7,7.0,7.0,-1.0,7.0,-1.0,8.4,3,7.7
4455,7.4,6.8,7.6,7.2,-1.0,7.1,-1.0,7.9,21,6.8
4501,8.0,-1.0,8.0,7.0,-1.0,7.0,-1.0,8.65,21,8.65
4516,8.1,7.5,8.6,8.1,-1.0,8.1,-1.0,8.0,103,7.72
4539,8.0,7.8,8.4,7.5,-1.0,7.8,-1.0,8.1,2,7.02
4567,6.5,4.0,7.0,6.5,-1.0,6.5,-1.0,6.9,-1,6.22
4578,9.3,8.3,9.3,9.2,-1.0,9.1,-1.0,7.8,-1,9.25
4718,8.7,8.0,8.7,8.7,-1.0,8.7,-1.0,8.8,-1,7.76
4750,8.0,6.7,8.2,8.2,-1.0,8.2,-1.0,7.35,-1,7.77
4825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,-1,-1.0
4966,9.0,8.2,8.9,9.1,-1.0,8.9,-1.0,9.0,48,8.74
5077,9.0,8.6,9.1,9.1,-1.0,8.8,-1.0,8.2,-1,6.76
5268,7.0,6.7,7.7,6.8,-1.0,6.9,-1.0,7.6,-1,6.76
5873,8.2,8.4,8.9,8.1,-1.0,8.4,-1.0,7.45,-1,8.58
5909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.7,2,7.02
6265,8.9,9.2,8.6,8.9,-1.0,8.9,-1.0,8.9,298,8.46
6391,6.0,-1.0,6.0,6.0,-1.0,6.0,-1.0,6.7,-1,6.13
6410,8.0,8.0,8.8,7.8,-1.0,7.5,-1.0,8.15,-1,7.74
6949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.15,6,8.84
6986,6.8,6.3,7.7,6.6,-1.0,6.6,-1.0,6.5,4,6.13
7046,6.0,6.5,6.8,6.4,-1.0,6.0,-1.0,6.2,-1,6.8
7131,7.6,7.9,8.2,7.6,-1.0,7.4,-1.0,8.0,3,7.92
7589,7.7,6.7,8.0,7.7,-1.0,7.3,-1.0,7.75,16,7.13
7919,8.4,8.0,8.6,8.6,-1.0,8.4,-1.0,8.45,-1,8.1
8721,6.5,4.0,7.0,6.5,-1.0,6.5,-1.0,7.2,-1,-1.0
8722,7.8,7.6,7.6,8.0,-1.0,7.1,-1.0,8.25,50,7.77
8725,9.1,8.2,8.5,8.8,-1.0,8.9,-1.0,8.95,161,8.72
8728,8.2,8.0,8.4,8.2,-1.0,7.6,-1.0,7.75,-1,5.88
8734,6.5,4.0,7.0,6.5,-1.0,6.5,-1.0,8.6,3,5.41
8735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1,6.32
8737,8.2,8.0,8.4,8.2,-1.0,7.6,-1.0,6.85,-1,7.16
8739,8.2,8.0,8.4,8.2,-1.0,7.6,-1.0,7.6,-1,8.62
8918,9.0,8.0,9.0,9.0,-1.0,9.0,-1.0,7.2,-1,9.07
9703,9.2,8.5,8.6,9.2,-1.0,9.2,-1.0,8.85,23,9.28
9810,8.5,-1.0,7.9,-1.0,10.0,8.3,8.4,8.55,39,7.74
9869,8.0,-1.0,8.0,7.0,-1.0,7.0,-1.0,8.5,-1,8.63
9893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,4,6.02
21653,7.7,6.7,8.0,7.7,-1.0,7.3,-1.0,7.15,-1,7.13
22166,8.8,8.6,8.5,8.3,-1.0,8.2,-1.0,8.95,46,8.3
22199,8.3,7.5,8.5,8.2,-1.0,8.0,-1.0,6.35,6,7.07
22343,8.6,7.2,7.5,8.3,-1.0,8.0,-1.0,8.35,34,8.3
22741,9.2,8.0,8.9,8.9,-1.0,8.6,-1.0,9.2,251,8.97
22774,8.5,7.6,9.0,8.6,-1.0,8.5,-1.0,8.65,-1,9.1
23228,8.5,7.6,9.0,8.6,-1.0,8.5,-1.0,8.8,-1,8.6
23341,9.0,8.3,9.1,9.0,-1.0,8.8,-1.0,8.85,349,8.38
23411,9.1,7.9,8.7,8.6,-1.0,8.7,-1.0,8.8,87,8.43
23418,8.8,8.0,9.0,8.5,-1.0,8.8,-1.0,8.3,-1,9.16
23699,7.7,7.5,8.5,7.7,-1.0,7.6,-1.0,7.25,-1,7.76
29514,8.5,7.7,8.7,8.4,-1.0,8.5,-1.0,9.0,328,8.53
29672,6.1,5.0,6.7,6.0,-1.0,6.1,-1.0,-1.0,-1,8.53
29676,6.9,6.4,8.4,7.1,-1.0,6.7,-1.0,2.6,-1,8.53
41168,9.1,8.2,8.9,8.7,-1.0,8.9,-1.0,8.75,2,8.96
41176,8.9,8.1,9.0,8.7,-1.0,8.7,-1.0,8.5,93,8.11
41178,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,9,8.64
41180,8.8,8.2,8.4,8.6,-1.0,8.6,-1.0,8.45,-1,8.28
41183,7.8,7.7,8.6,7.8,-1.0,8.1,-1.0,7.55,196,6.96
41184,9.0,8.0,9.0,9.0,-1.0,9.0,-1.0,8.9,194,8.54
41186,8.9,8.2,9.0,9.0,-1.0,8.8,-1.0,8.6,101,8.29
41187,9.3,8.9,8.8,9.1,-1.0,9.1,-1.0,9.0,96,8.81
41189,8.6,8.0,8.9,6.9,-1.0,7.4,-1.0,8.8,125,8.08
41193,9.0,8.1,8.7,8.8,-1.0,8.8,-1.0,8.55,13,8.06
41198,9.3,8.8,9.1,9.2,-1.0,9.2,-1.0,8.9,110,8.49
41202,9.1,8.2,8.9,8.7,-1.0,8.9,-1.0,8.3,49,8.08
41204,6.5,6.7,6.8,6.3,-1.0,6.3,-1.0,7.05,138,6.49
41217,9.2,8.1,8.2,9.2,-1.0,8.9,-1.0,9.1,52,8.35
41220,7.8,7.1,8.8,7.9,-1.0,8.0,-1.0,6.7,-1,7.57
41231,8.5,7.7,8.7,8.4,-1.0,8.5,-1.0,8.95,-1,8.53
41232,7.8,7.7,8.6,7.8,-1.0,8.1,-1.0,7.75,-1,6.96
41237,8.7,8.6,8.8,8.6,-1.0,8.5,-1.0,8.45,120,7.91
41240,8.8,8.7,8.8,8.8,-1.0,8.8,-1.0,9.2,5,9.28
41243,9.5,-1.0,9.3,9.3,-1.0,9.5,-1.0,9.05,5,7.95
41312,9.2,8.1,8.2,9.2,-1.0,8.9,-1.0,8.5,-1,8.35
41318,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
45547,7.3,7.2,7.5,7.3,-1.0,7.2,-1.0,8.1,2,6.55
45571,8.1,7.7,8.6,8.0,-1.0,8.1,-1.0,7.95,-1,8.0
45589,9.4,8.7,9.3,9.3,-1.0,9.1,-1.0,9.0,-1,8.92
45757,8.7,8.5,8.7,8.6,-1.0,8.5,-1.0,8.4,-1,8.47
45759,8.0,8.0,8.8,8.0,-1.0,8.4,-1.0,8.35,221,8.0
8,8.3,8.1,8.5,8.4,-1.0,8.2,-1.0,7.55,3,7.35
10,8.2,7.2,7.9,7.9,-1.0,7.8,-1.0,6.9,-1,6.7
39,9.3,7.8,8.1,8.6,-1.0,8.6,8.3,8.3,18,7.83
102,9.1,8.3,8.7,9.0,-1.0,8.9,-1.0,7.2,54,8.34
130,8.0,8.0,8.0,8.0,-1.0,8.0,-1.0,7.1,2,8.5
173,8.3,7.6,8.6,8.5,-1.0,8.3,-1.0,7.95,5,8.08
201,7.3,8.0,10.0,8.7,-1.0,8.0,-1.0,8.75,-1,-1.0
280,7.4,7.5,7.8,7.4,-1.0,7.8,-1.0,6.3,3,6.42
286,8.8,8.3,8.5,8.9,-1.0,8.6,-1.0,8.5,11,8.83
298,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1,8.6
332,8.6,7.9,8.8,8.3,-1.0,8.3,-1.0,7.7,9,8.5
372,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.65,3,7.38
393,8.5,8.1,8.5,8.7,-1.0,8.5,-1.0,7.7,37,7.96
415,8.5,8.1,8.8,8.3,-1.0,8.1,-1.0,7.6,2,7.44
436,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.45,28,8.44
477,8.8,7.9,9.0,9.2,-1.0,8.7,-1.0,8.35,-1,8.62
482,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.85,-1,7.54
506,7.0,7.3,8.0,7.5,-1.0,7.5,-1.0,7.35,-1,6.94
538,6.3,-1.0,7.8,-1.0,6.2,6.3,5.8,6.5,7,6.66
552,8.5,7.8,8.1,8.1,-1.0,8.4,-1.0,8.05,2,8.32
554,8.9,8.3,8.2,8.8,-1.0,8.7,-1.0,7.55,12,8.71
619,7.5,7.3,8.0,7.5,-1.0,7.5,-1.0,6.3,-1,4.88
642,9.1,8.3,8.7,9.0,-1.0,8.9,-1.0,8.0,-1,8.34
680,8.8,7.9,8.5,9.0,-1.0,8.2,-1.0,8.25,6,8.54
692,4.0,-1.0,4.0,4.0,-1.0,4.0,-1.0,7.0,-1,-1.0
747,9.2,7.3,8.0,8.8,-1.0,8.0,-1.0,7.65,-1,7.95
842,8.5,8.2,8.4,8.2,-1.0,8.3,-1.0,7.95,2,8.34
848,8.2,7.9,8.8,8.3,8.4,8.1,7.4,7.8,41,8.01
869,9.1,7.8,8.8,8.8,-1.0,8.5,-1.0,8.25,-1,8.11
910,8.3,7.5,8.3,8.4,-1.0,7.9,-1.0,7.55,15,7.82
963,7.2,-1.0,7.3,-1.0,8.0,7.4,6.4,7.1,-1,7.35
1002,7.0,8.0,9.0,9.0,-1.0,8.0,-1.0,8.45,3,8.66
1035,7.8,7.8,7.5,7.3,8.6,7.8,7.9,7.9,9,7.06
1073,7.9,7.2,8.8,8.7,-1.0,7.7,-1.0,7.0,-1,7.36
1091,9.5,10.0,9.5,9.5,-1.0,9.0,-1.0,9.2,-1,9.85
1092,8.4,8.0,8.0,8.4,-1.0,8.4,-1.0,8.0,-1,7.87
1304,8.5,8.1,8.8,8.3,-1.0,8.1,-1.0,7.7,-1,8.22
1323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.1,3,8.96
1357,9.5,8.2,9.1,9.6,-1.0,9.4,-1.0,8.0,-1,9.16
1431,9.1,8.6,9.2,9.1,-1.0,9.0,-1.0,8.4,16,8.77
1435,8.7,8.0,8.3,9.0,-1.0,8.3,-1.0,8.75,2,8.64
1488,9.2,9.1,8.1,9.3,-1.0,9.1,-1.0,9.1,18,9.34
1489,8.8,8.0,8.7,8.7,-1.0,8.5,-1.0,8.4,13,8.48
1516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.55,6,8.78
1584,7.0,7.0,9.0,7.0,-1.0,7.0,-1.0,7.1,-1,7.45
1600,8.6,7.6,7.2,8.2,-1.0,7.8,-1.0,7.85,7,7.61
