id,name,district_id,province_id
1,Hưng Bình,667,7
2,Phước Ninh,238,50
3,Phường 1,155,20
4,Xuân La,557,11
5,Hải Châu,238,50
6,Lộc Thọ,414,43
7,Thị trấn Cát Bà,89,3
8,Thị trấn Dương Đông,446,2
9,Phường 2,686,15
10,Phường 4,155,20
11,Bến Thành,479,33
12,Phường 8,155,20
14,Long Hòa,99,33
15,Nguyễn Thái Bình,479,33
16,Hàm Tiến,244,23
17,Trung Minh,316,48
18,Hàng Trống,259,11
19,Khuê Mỹ,412,50
20,Phường 2,186,44
21,Cô Giang,479,33
22,Tân Thuận Đông,485,33
23,Cẩm Phô,269,28
24,An Khánh,424,38
25,Cẩm Châu,269,28
26,Phường 2,155,20
27,Tân Lập,414,43
28,Vĩnh Nguyên,414,43
29,Phạm Ngũ Lão,479,33
30,Ninh Vân,423,43
31,Tỉnh Lộ 86,19,11
32,Tân An,424,38
33,Phường 1,686,15
34,Hàng Bạc,259,11
35,Cửa Cạn,446,2
36,Trúc Bạch,259,11
37,Bến Nghé,479,33
38,Thị trấn Lăng Cô,441,1
39,Xuân Phú,275,1
40,Phú Hội,275,1
41,Gia Sinh,214,60
42,Dương Tơ,446,2
43,Phường 6,483,33
44,Tỉnh 719,245,23
45,An Hải Bắc,524,50
46,Đại Kim,260,11
47,Mỹ An,412,50
48,Phường 6,638,58
49,Phạm Đình Hồ,259,11
50,Tiến Thành,244,23
51,Thị trấn Tam Đảo,527,39
52,Cửa Nam,259,11
53,Tuần Châu,235,10
54,Phú Nhuận,275,1
55,Phường 3,155,20
56,Thị trấn Sa Pa,503,21
57,Phường 11,443,33
58,Ninh Hải,250,60
59,Mũi Né,244,23
60,Xương Huân,414,43
61,Văn Miếu,259,11
62,Phước Mỹ,524,50
63,Phú Hài,244,23
64,Quán Thánh,259,11
65,Mễ Trì,394,11
66,Vạn Hương,183,3
67,Hàng Buồm,259,11
68,Bãi Cháy,235,10
69,Hà Huy Tập,667,7
70,Bình Kiến,638,58
71,Nghi Hương,142,7
72,Ghềnh Ráng,494,5
73,Phường 7,638,58
74,Nhân Chính,582,11
75,Hàng Bồ,259,11
76,Cỏ Ống,134,15
77,Tôn Đức Thắng,134,15
78,Ninh Khánh,420,60
79,Thắng Tam,686,15
80,Bạch Đằng,235,10
81,Hòa Phú,255,50
82,Cẩm An,269,28
83,Phường 2,61,33
85,Vĩnh Ninh,275,1
86,Đằng Hải,237,3
87,Tân Lập,72,40
88,Thị trấn Thiên Cầm,97,45
89,Hàng Gai,259,11
90,Hòa Hải,412,50
91,Tân Sơn,574,16
92,Mỹ Hải,432,17
93,Lê Lợi,494,5
94,Phước Thuận,690,15
95,Võ Thị Sáu,173,15
96,Shàng Bông,227,11
97,Quảng An,557,11
98,Lê Hồng Phong,523,13
99,Yên Phụ,557,11
100,Diên Hòa,146,43
101,San Sả Hồ,503,21
102,Cửa Dương,446,2
103,Phường 7,155,20
104,Chiềng Châu,355,48
105,Tự An,72,40
106,Lý Thái Tổ,259,11
107,Cầu Hùng Vương,638,58
108,Phương Liệt,582,11
109,Cái Khế,424,38
110,Bảo Ninh,192,12
111,Nam Cát Tiên,544,32
112,Trường Thi,667,7
113,Thắng Lợi,306,56
114,An Hải Đông,524,50
115,Phường 8,686,15
116,Hà Khẩu,684,61
117,Vỹ Dạ,275,1
118,Phường 9,155,20
119,Tân Định,42,22
120,Văn Hải,432,17
121,Đức Nghĩa,244,23
122,An Hải Tây,524,50
123,Hải Thành,192,12
124,Phước Đồng,414,43
125,Đống Đa,680,39
126,Cam Thịnh Đông,81,43
127,Phú Sơn,544,32
128,Phú Hội,642,53
129,Tràng Tiền,259,11
130,Bình An,480,33
131,Phường 10,483,33
132,Phường 8,443,33
133,Quyết Thắng,306,56
134,An Phú,424,38
135,Phường 6,481,33
136,Thuận An,451,1
137,Phường 10,155,20
138,Đông Hồ,293,2
139,Sơn Phong,269,28
140,Long Hải,338,15
141,Phường 13,61,33
142,Tân Tiến,243,23
143,Kỳ Nam,315,45
144,Phú Hội,567,55
145,Tân Thành,420,60
146,Hồng Gai,235,10
147,Nghĩa Hà,643,13
148,Trung Sơn,505,16
149,Nguyễn Văn Cừ,494,5
150,Sơn Trạch,66,12
151,Đồng Phú,192,12
152,Nguyễn An Ninh,686,15
153,Việt Hải,89,3
154,Văn Hải,422,17
155,Tân An,269,28
156,Minh An,269,28
157,Lộc Vĩnh,441,1
158,Cửa Đông,259,11
159,Chánh Nghĩa,596,22
160,Quan Lạn,660,10
161,Cư Yên,351,48
162,Lưu Kiếm,604,3
163,Hoằng Tiến,265,16
164,Cửa Đại,269,28
165,Thanh Hà,269,28
166,Tân Mai,50,32
167,Nguyễn Tất Thành,72,40
